city,station_id,Year,Vd,PM10,Days,Hours,Second,LAI,Resuspension rate,PM10 deposition,PM10 deposition (mg/m2),PM10 deposition (g/m2),PM10 deposition in 1 km buffer,PM10 deposition in 1 km buffer (kg),PM10 deposition in 1 km buffer (tons),Mean
London,BLO,2000,0.0064,28.28187942,153,24,3600,0.292,0.5,349338.3538,349.3383538,0.349338354,1097481.372,1097.481372,1.097481372,0.970967063
London,BLO,2001,0.0064,28.64537138,153,24,3600,0.328,0.5,397450.8705,397.4508705,0.39745087,1248631.655,1248.631655,1.248631655,
London,BLO,2002,0.0064,34.93906852,153,24,3600,0.32,0.5,472951.3314,472.9513314,0.472951331,1485823.903,1485.823903,1.485823903,
London,BLO,2003,0.0064,29.21577543,153,24,3600,0.275,0.5,339864.0771,339.8640771,0.339864077,1067716.985,1067.716985,1.067716985,
London,BLO,2004,0.0064,22.42540229,153,24,3600,0.31,0.5,294074.3109,294.0743109,0.294074311,923863.8552,923.8638552,0.923863855,
London,BLO,2005,0.0064,23.30101598,153,24,3600,0.32,0.5,315413.2894,315.4132894,0.315413289,990902.39,990.90239,0.99090239,
London,BLO,2006,0.0064,25.66334443,153,24,3600,0.311,0.5,337620.4881,337.6204881,0.337620488,1060668.525,1060.668525,1.060668525,
London,BLO,2007,0.0064,25.88891995,153,24,3600,0.274,0.5,300067.9747,300.0679747,0.300067975,942693.5494,942.6935494,0.942693549,
London,BLO,2008,0.0064,23.6966993,153,24,3600,0.346,0.5,346831.9583,346.8319583,0.346831958,1089607.28,1089.60728,1.08960728,
London,BLO,2009,0.0064,20.99113978,153,24,3600,0.328,0.5,291249.3843,291.2493843,0.291249384,914989.0657,914.9890657,0.914989066,
London,BLO,2010,0.0064,14.09656475,153,24,3600,0.362,0.5,215862.4056,215.8624056,0.215862406,678153.3336,678.1533336,0.678153334,
London,BLO,2011,0.0064,21.03703557,153,24,3600,0.362,0.5,322142.6771,322.1426771,0.322142677,1012043.434,1012.043434,1.012043434,
London,BLO,2012,0.0064,16.7737538,153,24,3600,0.365,0.5,258987.1881,258.9871881,0.258987188,813634.1501,813.6341501,0.81363415,
London,BLO,2013,0.0064,16.26648387,153,24,3600,0.387,0.5,266293.0326,266.2930326,0.266293033,836586.1912,836.5861912,0.836586191,
London,BLO,2014,0.0064,17.12930852,153,24,3600,0.44,0.5,318821.5433,318.8215433,0.318821543,1001609.76,1001.60976,1.00160976,
London,BLO,2015,0.0064,19.1764,153,24,3600,0.294,0.5,238489.6642,238.4896642,0.238489664,749239.1291,749.2391291,0.749239129,
London,BLO,2016,0.0064,17.59721905,153,24,3600,0.329,0.5,244903.5552,244.9035552,0.244903555,769389.0091,769.3890091,0.769389009,
London,BLO,2017,0.0064,17.10323851,153,24,3600,0.438,0.5,316889.3285,316.8893285,0.316889329,995539.5145,995.5395145,0.995539514,
London,BLO,2018,0.0064,17.51275013,153,24,3600,0.377,0.5,279287.0849,279.2870849,0.279287085,877408.306,877.408306,0.877408306,
London,BLO,2019,0.0064,18.370066,153,24,3600,0.388,0.5,301507.1349,301.5071349,0.301507135,947214.8151,947.2148151,0.947214815,
London,BLO,2020,0.0064,16.81442266,153,24,3600,0.397,0.5,282375.8936,282.3758936,0.282375894,887112.1075,887.1121075,0.887112107,
London,BX,2000,0.0064,24.21938034,153,24,3600,0.824,0.5,844200.0834,844.2000834,0.844200083,2652138.982,2652.138982,2.652138982,
London,BX,2001,0.0064,26.34508194,153,24,3600,0.74,0.5,824681.8282,824.6818282,0.824681828,2590820.431,2590.820431,2.590820431,
London,BX,2002,0.0064,24.19141611,153,24,3600,0.846,0.5,865738.6496,865.7386496,0.86573865,2719804.542,2719.804542,2.719804542,
London,BX,2003,0.0064,26.40349482,153,24,3600,0.637,0.5,711469.0277,711.4690277,0.711469028,2235151.097,2235.151097,2.235151097,
London,BX,2004,0.0064,20.41352449,153,24,3600,0.83,0.5,716722.8296,716.7228296,0.71672283,2251656.441,2251.656441,2.251656441,
London,BX,2005,0.0064,22.21208602,153,24,3600,0.82,0.5,770474.6437,770.4746437,0.770474644,2420523.141,2420.523141,2.420523141,
London,BX,2006,0.0064,21.88921098,153,24,3600,0.875,0.5,810202.0018,810.2020018,0.810202002,2545330.609,2545.330609,2.545330609,
London,BX,2007,0.0064,19.86417427,153,24,3600,0.679,0.5,570552.2765,570.5522765,0.570552277,1792447.032,1792.447032,1.792447032,
London,BX,2008,0.0064,20.49903226,153,24,3600,0.886,0.5,768284.7847,768.2847847,0.768284785,2413643.48,2413.64348,2.41364348,
