city,station_id,Long,Lat,Year,PMten,PMDF,GP,ST,WP,Precipitation,PopD
Hong_kong,HKCW,114.143843,22.28487,2000,37.4,0.23936,29.83197892,27.342,9.914,2058.6,42465.78
Hong_kong,HKCW,114.143843,22.28487,2001,40.4,0.25856,30.69019524,27.602,11.522,2496.6,41224.08832
Hong_kong,HKCW,114.143843,22.28487,2002,32.6,0.20864,28.45926237,28.34,11.916,1292.1,41224.08832
Hong_kong,HKCW,114.143843,22.28487,2003,33.4,0.21376,29.3234588,28.398,13.01,1098.65,41461.56705
Hong_kong,HKCW,114.143843,22.28487,2004,43.2,0.27648,28.41830699,28.502,9.046,985.5,41461.56705
Hong_kong,HKCW,114.143843,22.28487,2005,35.4,0.22656,30.73008071,27.686,10.804,1430.8,41880.16
Hong_kong,HKCW,114.143843,22.28487,2006,34.8,0.22272,28.75285585,27.374,14.056,1503.8,41518.78624
Hong_kong,HKCW,114.143843,22.28487,2007,35.8,0.22912,29.35523683,28.146,10.36,1025.65,41518.78624
Hong_kong,HKCW,114.143843,22.28487,2008,34.2,0.21888,29.79207021,27.73,13.382,1642.5,41795.74868
Hong_kong,HKCW,114.143843,22.28487,2009,32,0.2048,28.68476095,28.778,12.684,952.65,41795.74868
Hong_kong,HKCW,114.143843,22.28487,2010,28,0.1792,28.11713759,27.958,9.254,1208.15,41792.43
Hong_kong,HKCW,114.143843,22.28487,2011,32.2,0.20608,28.66358843,28.622,11.192,876,41842.27904
Hong_kong,HKCW,114.143843,22.28487,2012,34.8,0.22272,28.43054215,28.44,12.954,1025.65,41842.27904
Hong_kong,HKCW,114.143843,22.28487,2013,25.6,0.16384,29.52375057,27.772,11.622,1310.35,42378.78669
Hong_kong,HKCW,114.143843,22.28487,2014,25.2,0.16128,28.00122673,28.55,10.648,1098.65,42378.78669
Hong_kong,HKCW,114.143843,22.28487,2015,26.8,0.17152,28.19303085,28.422,9.686,1427.15,42462.18
Hong_kong,HKCW,114.143843,22.28487,2016,23.4,0.14976,27.32977226,28.118,10.872,1941.8,42430.08278
Hong_kong,HKCW,114.143843,22.28487,2017,22.2,0.14208,28.97356391,28.33,11.746,1445.4,42430.08278
Hong_kong,HKCW,114.143843,22.28487,2018,22.8,0.14592,28.66805345,28.672,13.49,1492.85,43144.58797
Hong_kong,HKCW,114.143843,22.28487,2019,21.8,0.13952,28.03260288,28.046,10.102,1905.3,43144.58797
Hong_kong,HKCW,114.143843,22.28487,2020,13.2,0.08448,28.90531522,28.582,10.054,1828.65,42869.27
Hong_kong,HKMK,114.168657,22.32253,2000,50.4,0.32256,17.48954244,27.342,9.914,2058.6,33589.48
Hong_kong,HKMK,114.168657,22.32253,2001,63.6,0.40704,16.74218142,27.602,11.522,2496.6,39174.27393
Hong_kong,HKMK,114.168657,22.32253,2002,54.6,0.34944,16.27503647,28.34,11.916,1292.1,39174.27393
Hong_kong,HKMK,114.168657,22.32253,2003,52.6,0.33664,15.76375343,28.398,13.01,1098.65,39376.58873
Hong_kong,HKMK,114.168657,22.32253,2004,62.8,0.40192,15.46703572,28.502,9.046,985.5,39376.58873
Hong_kong,HKMK,114.168657,22.32253,2005,53.8,0.34432,15.12406409,27.686,10.804,1430.8,34995.86
Hong_kong,HKMK,114.168657,22.32253,2006,51.6,0.33024,16.39538167,27.374,14.056,1503.8,39419.01408
Hong_kong,HKMK,114.168657,22.32253,2007,51.6,0.33024,17.075544,28.146,10.36,1025.65,39419.01408
Hong_kong,HKMK,114.168657,22.32253,2008,48.6,0.31104,15.27960673,27.73,13.382,1642.5,39699.77538
Hong_kong,HKMK,114.168657,22.32253,2009,42.8,0.27392,14.8237801,28.778,12.684,952.65,39699.77538
Hong_kong,HKMK,114.168657,22.32253,2010,39,0.2496,16.448965,27.958,9.254,1208.15,36917.6
Hong_kong,HKMK,114.168657,22.32253,2011,41.6,0.26624,13.28676148,28.622,11.192,876,39784.85971
Hong_kong,HKMK,114.168657,22.32253,2012,37.6,0.24064,14.26215231,28.44,12.954,1025.65,39784.85971
Hong_kong,HKMK,114.168657,22.32253,2013,33.8,0.21632,14.31498951,27.772,11.622,1310.35,40814.38428
Hong_kong,HKMK,114.168657,22.32253,2014,34.2,0.21888,13.23795547,28.55,10.648,1098.65,40814.38428
Hong_kong,HKMK,114.168657,22.32253,2015,31.8,0.20352,13.83470252,28.422,9.686,1427.15,39678.2
Hong_kong,HKMK,114.168657,22.32253,2016,28.8,0.18432,15.2079104,28.118,10.872,1941.8,40910.83838
Hong_kong,HKMK,114.168657,22.32253,2017,28.4,0.18176,13.13200971,28.33,11.746,1445.4,40910.83838
Hong_kong,HKMK,114.168657,22.32253,2018,24.6,0.15744,15.13521233,28.672,13.49,1492.85,41813.5441
Hong_kong,HKMK,114.168657,22.32253,2019,26.8,0.17152,14.20931511,28.046,10.102,1905.3,41813.5441
Hong_kong,HKMK,114.168657,22.32253,2020,16.8,0.10752,14.80824948,28.582,10.054,1828.65,42403.21
Hong_kong,HKTP,114.231343,22.30972,2000,38,0.2432,48.62210268,27.342,9.914,2058.6,49269.29
Hong_kong,HKTP,114.231343,22.30972,2001,38.6,0.24704,44.03295014,27.602,11.522,2496.6,52018.02465
Hong_kong,HKTP,114.231343,22.30972,2002,36,0.2304,45.80159879,28.34,11.916,1292.1,52018.02465
Hong_kong,HKTP,114.231343,22.30972,2003,36.4,0.23296,46.81909321,28.398,13.01,1098.65,52463.41521
Hong_kong,HKTP,114.231343,22.30972,2004,40.8,0.26112,45.59021915,28.502,9.046,985.5,52463.41521
Hong_kong,HKTP,114.231343,22.30972,2005,34,0.2176,48.58217624,27.686,10.804,1430.8,51164.98
Hong_kong,HKTP,114.231343,22.30972,2006,36.2,0.23168,49.25214832,27.374,14.056,1503.8,52595.45593
