City,Date,NDVI
Berlin,4/16/2014,0.201
Berlin,4/16/2014,0.203
Berlin,7/19/2014,0.385
Berlin,9/7/2014,0.237
Berlin,11/1/2014,0.182
Berlin,2/14/2015,0.126
Berlin,2/14/2015,0.132
Berlin,3/18/2015,0.127
Berlin,3/18/2015,0.132
Berlin,3/25/2015,0.132
Berlin,4/10/2015,0.148
Berlin,4/10/2015,0.146
Berlin,4/19/2015,0.167
Berlin,6/4/2015,0.389
Berlin,8/9/2015,0.239
Berlin,8/23/2015,0.331
Berlin,9/1/2015,0.234
Berlin,10/3/2015,0.222
Berlin,10/3/2015,0.222
Berlin,10/12/2015,0.206
Berlin,10/12/2015,0.209
Berlin,10/28/2015,0.17
Berlin,2/17/2016,0.124
Berlin,3/4/2016,0.132
Berlin,4/21/2016,0.183
Berlin,4/21/2016,0.186
Berlin,5/7/2016,0.226
Berlin,5/7/2016,0.228
Berlin,5/23/2016,0.26
Berlin,6/6/2016,0.36
Berlin,6/8/2016,0.264
Berlin,6/8/2016,0.267
Berlin,6/24/2016,0.262
Berlin,6/24/2016,0.266
Berlin,8/25/2016,0.331
Berlin,8/27/2016,0.239
Berlin,8/27/2016,0.243
Berlin,9/10/2016,0.299
Berlin,9/12/2016,0.228
Berlin,9/12/2016,0.231
Berlin,5/17/2017,0.241
Berlin,6/2/2017,0.265
Berlin,6/2/2017,0.261
Berlin,6/11/2017,0.265
Berlin,8/30/2017,0.252
Berlin,8/30/2017,0.254
Berlin,10/17/2017,0.196
Berlin,10/17/2017,0.201
Berlin,2/6/2018,0.141
Berlin,2/13/2018,0.148
Berlin,2/22/2018,0.134
Berlin,3/1/2018,0.124
Berlin,3/1/2018,0.125
Berlin,4/2/2018,0.128
Berlin,4/18/2018,0.177
Berlin,4/18/2018,0.175
Berlin,5/4/2018,0.26
Berlin,5/13/2018,0.264
Berlin,5/13/2018,0.267
Berlin,5/20/2018,0.274
Berlin,5/20/2018,0.27
Berlin,5/29/2018,0.263
Berlin,5/29/2018,0.266
Berlin,7/16/2018,0.246
Berlin,7/23/2018,0.254
Berlin,7/23/2018,0.253
Berlin,8/1/2018,0.263
Berlin,8/17/2018,0.229
Berlin,8/17/2018,0.235
Berlin,9/18/2018,0.209
Berlin,10/11/2018,0.202
Berlin,10/11/2018,0.206
Berlin,11/28/2018,0.14
Berlin,11/28/2018,0.145
Berlin,2/16/2019,0.129
Berlin,2/16/2019,0.131
Berlin,2/25/2019,0.131
Berlin,3/20/2019,0.147
Berlin,4/21/2019,0.194
Berlin,4/21/2019,0.19
Berlin,4/30/2019,0.233
Berlin,4/30/2019,0.234
Berlin,6/24/2019,0.257
Berlin,7/26/2019,0.246
Berlin,7/26/2019,0.247
Berlin,8/27/2019,0.24
Berlin,9/21/2019,0.226
Berlin,10/7/2019,0.212
Berlin,10/14/2019,0.198
Berlin,10/14/2019,0.2
Berlin,10/23/2019,0.188
Berlin,10/30/2019,0.189
Berlin,3/22/2020,0.14
Berlin,4/7/2020,0.155
Berlin,4/23/2020,0.191
Berlin,4/23/2020,0.189
Berlin,6/1/2020,0.326
Berlin,6/3/2020,0.257
Berlin,6/3/2020,0.259
Berlin,6/17/2020,0.327
Berlin,8/6/2020,0.234
Berlin,8/6/2020,0.239
Berlin,9/14/2020,0.235
Berlin,9/14/2020,0.236
Berlin,9/23/2020,0.199
Hong Kong,1/16/2014,0.22
Hong Kong,9/6/2014,0.329
Hong Kong,9/29/2014,0.269
Hong Kong,10/8/2014,0.303
Hong Kong,10/8/2014,0.289
Hong Kong,10/15/2014,0.263
Hong Kong,11/16/2014,0.25
Hong Kong,11/25/2014,0.261
Hong Kong,11/25/2014,0.253
Hong Kong,1/3/2015,0.223
Hong Kong,1/3/2015,0.218
Hong Kong,1/19/2015,0.216
Hong Kong,1/19/2015,0.21
Hong Kong,2/13/2015,0.227
Hong Kong,9/25/2015,0.297
Hong Kong,10/18/2015,0.273
Hong Kong,2/7/2016,0.22
Hong Kong,2/7/2016,0.214
Hong Kong,3/26/2016,0.218
Hong Kong,3/26/2016,0.21
Hong Kong,5/6/2016,0.26
Hong Kong,6/23/2016,0.313
Hong Kong,7/25/2016,0.327
Hong Kong,8/26/2016,0.317
Hong Kong,9/18/2016,0.302
Hong Kong,9/18/2016,0.291
Hong Kong,9/27/2016,0.322
Hong Kong,9/27/2016,0.306
Hong Kong,11/5/2016,0.252
Hong Kong,11/5/2016,0.252
Hong Kong,11/14/2016,0.279
Hong Kong,12/7/2016,0.244
Hong Kong,12/16/2016,0.28
Hong Kong,1/1/2017,0.265
Hong Kong,1/8/2017,0.235
Hong Kong,8/13/2017,0.333
Hong Kong,8/20/2017,0.292
Hong Kong,8/29/2017,0.343
Hong Kong,8/29/2017,0.324
Hong Kong,10/16/2017,0.34
Hong Kong,10/23/2017,0.29
Hong Kong,11/1/2017,0.321
Hong Kong,2/12/2018,0.23
Hong Kong,2/12/2018,0.223
Hong Kong,3/9/2018,0.283
Hong Kong,4/1/2018,0.243
Hong Kong,7/31/2018,0.323
Hong Kong,10/3/2018,0.294
Hong Kong,10/3/2018,0.281
Hong Kong,1/23/2019,0.252
Hong Kong,3/12/2019,0.253
Hong Kong,3/19/2019,0.195
Hong Kong,9/20/2019,0.34
Hong Kong,9/20/2019,0.323
Hong Kong,9/27/2019,0.274
Hong Kong,10/22/2019,0.291
Hong Kong,10/22/2019,0.281
Hong Kong,10/29/2019,0.264
Hong Kong,11/7/2019,0.28
Hong Kong,11/14/2019,0.261
Hong Kong,11/23/2019,0.282
Hong Kong,11/23/2019,0.271
Hong Kong,11/30/2019,0.248
Hong Kong,2/18/2020,0.219
Hong Kong,4/15/2020,0.259
Hong Kong,11/16/2020,0.262
Hong Kong,12/2/2020,0.245
Hong Kong,12/27/2020,0.265
Hong Kong,12/27/2020,0.258
London,2/1/2014,0.154
London,2/26/2014,0.165
London,4/15/2014,0.221
London,7/4/2014,0.242
London,4/9/2015,0.184
London,4/18/2015,0.203
London,8/8/2015,0.207
London,10/2/2015,0.222
London,1/15/2016,0.163
London,2/16/2016,0.171
London,4/20/2016,0.204
London,8/26/2016,0.207
London,9/11/2016,0.211
London,11/30/2016,0.166
London,6/10/2017,0.268
London,6/17/2017,0.248
London,11/17/2017,0.177
London,2/12/2018,0.157
London,5/19/2018,0.254
London,6/29/2018,0.239
London,7/6/2018,0.218
London,7/15/2018,0.214
London,9/1/2018,0.22
London,9/17/2018,0.215
London,9/24/2018,0.209
London,10/10/2018,0.203
London,2/15/2019,0.155
London,2/24/2019,0.166
London,4/20/2019,0.212
London,5/15/2019,0.254
London,8/26/2019,0.222
London,2/11/2020,0.162
London,4/15/2020,0.216
London,4/22/2020,0.225
London,6/25/2020,0.229
London,8/5/2020,0.211
London,8/12/2020,0.195
London,9/13/2020,0.217
London,9/22/2020,0.205
Los Angeles,2/25/2014,0.111
Los Angeles,3/13/2014,0.123
Los Angeles,4/14/2014,0.142
